brand,model,year,body_type,engine_size,cylinders,turbo,horsepower,torque_nm,weight,wheelbase_mm,length_mm,width_mm,height_mm,doors,seats,transmission,fuel_type,drivetrain,odometer_km,city_ratio,battery_kwh,emission_std,co2_gpkm,l_per_100km,price,target_mileage
Kia,Sportage,2009,crossover,1.25,4,0,85.0,160,1876.0,2509,4209,1753,1572,5,5,automatic,petrol,AWD,438030.0,0.289,0.0,EURO 4,125.3,5.24,9885,19.08
Mercedes,C-Class,2009,crossover,2.12,4,0,222.0,359,1875.0,2627,4409,1846,1576,5,5,automatic,petrol,FWD,236747.0,0.516,0.0,EURO 4,166.5,6.96,18839,14.36
Nissan,Leaf,2015,sedan,1.06,3,0,145.0,176,1438.0,2542,4198,1760,1466,4,5,automatic,petrol,AWD,197738.0,0.344,0.0,EURO 6,147.3,6.16,21205,16.24
Nissan,Leaf,2014,sedan,1.4,4,1,139.0,199,1330.0,2591,4266,1757,1431,4,5,manual,petrol,FWD,143135.0,0.319,0.0,EURO 5,109.3,4.57,17070,21.88
Ford,Focus,2012,pickup,2.34,6,1,234.0,369,2503.0,2891,4884,1837,1447,4,5,automatic,petrol,AWD,241312.0,0.262,0.0,EURO 5,287.8,12.03,21825,8.31
Mercedes,GLC,2021,sedan,3.38,8,1,372.0,569,1922.0,2824,4720,1891,1432,4,5,automatic,petrol,RWD,52339.0,0.325,0.0,EURO 6d,216.2,9.04,36425,11.06
Ford,Focus,2020,wagon,0.96,3,1,125.0,171,1606.0,2525,4143,1731,1462,5,5,manual,diesel,FWD,32347.0,0.346,0.0,EURO 6,111.7,4.23,23125,23.64
Toyota,Camry,2023,sedan,1.16,3,1,154.0,239,1381.0,2522,4286,1762,1455,4,5,automatic,petrol,FWD,52685.0,0.087,0.0,EURO 6d,127.0,5.31,25968,18.83
Honda,CR-V,2010,coupe,2.08,4,0,144.0,264,1761.0,2634,4403,1790,1473,2,5,automatic,petrol,FWD,190882.0,0.458,0.0,EURO 5,152.0,6.35,14430,15.74
Nissan,Altima,2022,wagon,3.36,8,0,,388,2253.0,2808,4810,1881,1421,5,5,manual,hybrid,RWD,21173.0,0.407,2.35,EURO 6d,111.8,5.59,33567,17.88
Honda,Civic,2015,hatchback,2.14,4,0,176.0,331,1663.0,2649,4469,1785,1452,5,5,automatic,hybrid,AWD,167144.0,0.703,1.45,EURO 6,117.6,5.88,24788,17.01
Hyundai,Ioniq,2021,suv,1.25,4,1,134.0,185,1915.0,2539,4376,1816,1605,5,7,automatic,petrol,FWD,27875.0,0.502,0.0,EURO 6d,159.7,6.67,23576,14.98
Volkswagen,Golf,2013,sedan,0.8,3,1,159.0,226,1309.0,2534,4021,1713,1471,4,5,automatic,hybrid,FWD,324996.0,0.545,2.37,EURO 5,80.4,4.02,8404,24.88
Hyundai,Ioniq,2024,sedan,2.7,6,0,173.0,315,1689.0,2725,4639,1857,1456,4,5,cvt,hybrid,FWD,24867.0,0.659,1.65,EURO 6d,87.4,4.37,34618,22.89
Ford,Focus,2011,sedan,1.06,3,1,181.0,290,1537.0,2546,4154,1762,1439,4,5,automatic,petrol,AWD,151575.0,0.682,0.0,EURO 5,159.4,6.66,20266,15.01
Toyota,RAV4,2014,sedan,1.35,4,1,136.0,218,1278.0,2595,4329,1755,1442,4,5,cvt,hybrid,FWD,197103.0,0.428,2.2,EURO 5,75.8,3.79,13784,26.38
Ford,F-150,2013,suv,0.95,3,0,94.0,176,1799.0,2500,4340,1794,1639,5,7,automatic,petrol,RWD,280597.0,0.286,0.0,EURO 5,125.4,5.24,10776,19.07
Nissan,Rogue,2010,sedan,4.11,8,0,273.0,482,1943.0,2837,4838,1919,1431,4,5,manual,petrol,FWD,184096.0,0.385,0.0,EURO 5,130.9,5.47,17161,18.27
Toyota,Prius,2019,crossover,,4,1,156.0,234,1934.0,2639,4339,1781,1550,5,5,automatic,petrol,AWD,34771.0,0.558,0.0,EURO 6,185.5,7.75,28011,12.9
Honda,Accord,2009,suv,6.24,12,0,,691,3112.0,3152,5600,2050,1625,5,7,cvt,petrol,RWD,238462.0,0.497,0.0,EURO 4,597.8,24.99,30082,4.0
Honda,Civic,2020,coupe,4.02,8,1,327.0,582,2240.0,2869,4956,1893,1450,2,5,automatic,petrol,FWD,47057.0,0.583,0.0,EURO 6,201.9,8.44,33013,11.85
Ford,Escape,2012,hatchback,2.23,6,1,242.0,390,1548.0,2668,4510,1840,1466,5,5,automatic,hybrid,RWD,165098.0,0.363,1.72,EURO 5,98.7,4.93,21322,20.26
BMW,5 Series,2022,suv,1.6,4,0,150.0,244,1882.0,2568,4400,1818,1604,5,7,automatic,hybrid,FWD,47999.0,0.88,1.36,EURO 6d,95.5,4.78,29198,20.93
Toyota,Prius,2011,sedan,4.01,8,0,263.0,448,2143.0,2907,4928,1928,1457,4,5,cvt,hybrid,AWD,303489.0,0.41,1.84,EURO 5,126.2,6.31,24647,15.85
Mercedes,C-Class,2013,sedan,5.17,12,1,581.0,908,2260.0,2983,5170,1981,1459,4,5,automatic,electric,RWD,142874.0,0.706,58.49,EURO 5,1.6,1.97,40807,50.79
Ford,Focus,2022,hatchback,2.81,6,0,213.0,349,1733.0,2715,4604,1842,1463,5,5,manual,petrol,RWD,41563.0,0.638,0.0,EURO 6d,153.4,6.41,29181,15.6
Kia,Optima,2019,pickup,2.03,4,0,205.0,327,2223.0,2839,4815,1765,1422,4,5,cvt,hybrid,FWD,48901.0,0.483,2.03,EURO 6,95.0,4.75,24449,21.05
BMW,X3,2007,sedan,2.72,6,0,288.0,457,1730.0,2786,4561,1834,1446,4,5,automatic,petrol,RWD,354711.0,0.197,0.0,EURO 4,196.8,8.23,20403,12.16
Toyota,Corolla,2023,coupe,3.91,8,0,262.0,442,2199.0,2844,4980,1879,1432,2,5,automatic,petrol,FWD,29006.0,0.559,0.0,EURO 6d,205.0,8.57,33266,11.67
Volkswagen,Polo,2019,sedan,2.23,6,0,191.0,304,1728.0,2660,4377,1816,1435,4,5,cvt,petrol,AWD,103639.0,0.225,0.0,EURO 6,156.7,6.55,24049,15.26
Volkswagen,Passat,2022,sedan,1.39,4,0,175.0,290,1312.0,2546,4255,1785,1490,4,5,manual,petrol,FWD,23946.0,0.425,0.0,EURO 6d,127.9,5.35,29216,18.7
Hyundai,Sonata,2023,crossover,1.34,4,1,142.0,220,1924.0,2508,4245,1803,1581,5,5,automatic,petrol,AWD,26049.0,0.501,0.0,EURO 6d,127.1,5.31,27474,18.82
Toyota,Camry,2007,hatchback,2.95,6,0,194.0,300,1702.0,2752,4633,1845,1478,5,5,automatic,hybrid,FWD,427842.0,0.102,2.22,EURO 4,92.1,4.6,11903,21.72
Toyota,Corolla,2012,wagon,3.13,6,1,280.0,440,1960.0,2747,4708,1836,1457,5,5,manual,petrol,RWD,139339.0,0.327,0.0,EURO 5,175.1,7.32,20521,13.66
Toyota,Camry,2018,sedan,1.66,4,1,175.0,268,1499.0,2581,4330,1792,1442,4,5,cvt,petrol,AWD,130723.0,0.573,0.0,EURO 6,130.1,5.44,20137,18.38
Audi,A3,2024,hatchback,1.85,4,0,226.0,341,1452.0,2618,4413,1779,1468,5,5,automatic,diesel,RWD,19536.0,0.595,0.0,EURO 6d,130.7,4.95,35418,20.19
Toyota,RAV4,2024,sedan,3.85,8,0,265.0,448,1941.0,2903,4941,1928,1459,4,5,automatic,hybrid,FWD,20523.0,0.52,2.25,EURO 6d,130.0,6.5,34177,15.38
Audi,A4,2023,sedan,1.12,3,0,118.0,185,1346.0,2560,4164,1768,1467,4,5,automatic,petrol,RWD,35435.0,0.435,0.0,EURO 6d,110.8,4.63,28343,21.58
Volkswagen,Tiguan,2023,suv,2.81,6,0,219.0,371,2346.0,2764,4731,1921,1624,5,5,manual,petrol,AWD,28687.0,0.218,0.0,EURO 6d,185.4,7.75,28898,12.9
Volkswagen,Passat,2014,sedan,2.19,4,0,202.0,320,1505.0,2639,4545,1832,1449,4,5,automatic,petrol,RWD,100064.0,0.187,0.0,EURO 5,125.0,5.22,20224,19.14
Honda,Accord,2023,hatchback,1.81,4,0,169.0,243,1543.0,2635,4256,1804,1458,5,5,manual,petrol,AWD,38259.0,0.492,0.0,EURO 6d,130.2,5.44,29297,18.37
Hyundai,Tucson,2009,sedan,1.81,4,0,139.0,261,1438.0,2596,4327,1793,1459,4,5,automatic,,RWD,382406.0,0.355,0.0,EURO 4,119.5,4.99,9567,20.02
BMW,5 Series,2023,suv,1.52,4,0,202.0,293,1842.0,2605,4477,1828,1625,5,5,automatic,hybrid,FWD,32013.0,0.241,2.37,EURO 6d,92.6,4.63,31846,21.6
Mercedes,GLE,2006,suv,2.54,6,1,315.0,461,2250.0,2739,4753,1883,1617,5,7,automatic,diesel,FWD,58487.0,0.474,0.0,EURO 4,193.0,7.31,27030,13.68
Toyota,Camry,2022,crossover,1.13,3,1,126.0,219,1697.0,2518,4251,1742,1555,5,5,automatic,electric,FWD,13144.0,0.747,90.81,EURO 6d,2.7,1.99,29773,50.36
Ford,F-150,2013,sedan,4.39,8,0,288.0,524,2130.0,2925,5039,1925,1433,4,5,automatic,petrol,RWD,207011.0,0.134,0.0,EURO 5,188.2,7.87,27524,12.71
Volkswagen,Tiguan,2017,suv,2.07,4,1,221.0,352,1855.0,2665,4643,1854,1599,5,7,automatic,petrol,FWD,103454.0,0.211,0.0,EURO 6,199.1,8.32,25542,12.01
Honda,Fit,2018,hatchback,2.37,6,0,166.0,315,1550.0,2617,4494,1816,1450,5,5,dct,petrol,FWD,146878.0,0.516,0.0,EURO 6,130.2,5.44,24491,18.37
Audi,Q5,2008,hatchback,1.34,4,1,197.0,262,1439.0,2577,4237,1767,1498,5,5,automatic,hybrid,FWD,376106.0,0.182,1.36,EURO 4,85.7,4.29,13767,23.33
Honda,Fit,2015,sedan,6.11,12,0,399.0,712,2485.0,3186,5410,2050,1474,4,5,manual,petrol,RWD,171537.0,0.316,0.0,EURO 6,278.5,11.64,32974,8.59
Kia,Optima,2012,pickup,2.39,6,0,199.0,321,2321.0,2887,4843,1810,1472,4,5,manual,petrol,FWD,192753.0,0.164,0.0,EURO 5,182.0,7.61,17171,13.14
Ford,Escape,2005,sedan,2.93,6,0,225.0,396,1771.0,2759,4581,1820,1442,4,5,automatic,petrol,RWD,376698.0,0.458,0.0,EURO 4,209.6,8.76,11921,11.41
Chevrolet,Malibu,2016,hatchback,2.65,6,0,223.0,411,1615.0,2718,4526,1837,1423,5,5,cvt,hybrid,FWD,175542.0,0.451,1.74,EURO 6,80.3,4.02,20723,24.9
Honda,Civic,2018,suv,2.9,6,0,203.0,369,2278.0,2764,4751,1910,1628,5,7,manual,petrol,FWD,107912.0,0.386,0.0,EURO 6,180.6,7.55,21368,13.25
Audi,A4,2019,hatchback,3.65,8,0,324.0,524,1971.0,2797,4827,1910,1461,5,5,automatic,petrol,FWD,82518.0,0.2,0.0,EURO 6,141.6,5.92,33424,16.89
Ford,F-150,2024,hatchback,3.55,8,1,348.0,597,1867.0,2828,4808,1871,1454,5,5,cvt,hybrid,FWD,16799.0,0.564,1.41,EURO 6d,108.9,5.45,39425,18.36
Toyota,Corolla,2012,sedan,3.76,8,0,245.0,419,2159.0,2831,4845,1879,1437,4,5,manual,hybrid,FWD,134074.0,0.4,1.42,EURO 5,101.9,5.1,19996,19.63
Toyota,Corolla,2017,sedan,,12,1,370.0,653,2400.0,2983,5225,2010,1447,4,5,cvt,petrol,FWD,94941.0,0.662,0.0,EURO 6,221.1,9.24,35733,10.82
Honda,Fit,2011,sedan,5.56,12,1,469.0,777,2539.0,3075,5174,2020,1462,4,5,automatic,petrol,FWD,54155.0,0.42,0.0,EURO 5,345.8,14.46,32127,6.92
Mercedes,GLE,2011,sedan,2.55,6,1,299.0,443,1888.0,2758,4535,1833,1449,4,5,manual,diesel,AWD,145136.0,0.24,0.0,EURO 5,158.1,5.99,26205,16.7
Toyota,Corolla,2019,hatchback,4.48,8,0,307.0,537,2083.0,2938,5069,1964,1475,5,5,cvt,petrol,RWD,53656.0,0.399,0.0,EURO 6,172.0,7.19,35288,13.91
Kia,Sportage,2015,hatchback,0.93,3,1,114.0,147,1437.0,2504,4113,1751,1439,5,5,automatic,petrol,AWD,159885.0,0.296,0.0,EURO 6,122.4,5.12,18278,19.54
Ford,Fusion,2014,hatchback,1.27,4,0,108.0,192,1411.0,2570,4198,1800,1437,5,5,automatic,diesel,FWD,12009.0,0.553,0.0,EURO 5,118.3,4.48,17450,22.33
Ford,Focus,2010,sedan,1.74,4,0,170.0,261,1558.0,2605,4449,1759,1438,4,5,automatic,diesel,FWD,119144.0,0.511,0.0,EURO 5,141.9,5.37,16931,18.61
BMW,5 Series,2020,suv,5.18,12,0,493.0,812,2935.0,3042,5346,2050,1641,5,5,dct,hybrid,FWD,85042.0,0.474,1.22,EURO 6,,9.43,41937,10.61
Mercedes,GLC,2024,sedan,3.09,6,0,303.0,491,1885.0,2807,4719,1872,1481,4,5,manual,hybrid,FWD,23738.0,0.333,1.98,EURO 6d,101.2,5.06,40824,19.76
Toyota,RAV4,2024,suv,1.06,3,1,139.0,188,1772.0,2548,4282,1793,1614,5,7,automatic,hybrid,FWD,12766.0,0.286,1.51,EURO 6d,83.1,4.15,30070,24.07
Volkswagen,Passat,2023,suv,5.56,12,0,374.0,670,2733.0,3052,5477,2050,1598,5,5,automatic,diesel,FWD,21384.0,0.347,0.0,EURO 6d,293.4,11.11,39950,9.0
Volkswagen,Passat,2006,crossover,4.57,8,0,339.0,581,2373.0,2915,5134,1987,1564,5,5,automatic,hybrid,FWD,406814.0,0.268,1.36,EURO 4,118.0,5.9,14766,16.94
Mercedes,GLC,2021,sedan,2.21,6,0,222.0,361,1749.0,2648,4431,1809,1454,4,5,automatic,diesel,FWD,63734.0,0.292,0.0,EURO 6d,163.0,6.17,33494,16.2
Kia,Sportage,2021,sedan,2.83,6,1,223.0,342,1706.0,2739,4531,1882,1435,4,5,manual,petrol,FWD,77283.0,0.756,0.0,EURO 6d,162.5,6.8,29934,14.72
Hyundai,Sonata,2022,wagon,2.35,6,0,153.0,292,1909.0,2695,4514,1816,1468,5,5,automatic,hybrid,FWD,88603.0,0.698,2.25,EURO 6d,92.7,4.64,26707,21.57
Honda,Civic,2017,sedan,3.53,8,1,,549,,2776,4831,1926,1451,4,5,automatic,petrol,FWD,196190.0,0.255,0.0,EURO 6,207.8,8.69,24966,11.51
Volkswagen,Tiguan,2013,sedan,1.92,4,0,164.0,281,1533.0,2668,4429,1790,1480,4,5,cvt,hybrid,FWD,202317.0,0.675,2.32,EURO 5,85.4,4.27,18152,23.43
Mercedes,E-Class,2010,suv,3.83,8,1,445.0,697,2414.0,2905,5015,1935,1617,5,5,manual,hybrid,FWD,301851.0,0.451,1.81,EURO 5,118.0,5.9,24596,16.95
Honda,Accord,2006,crossover,1.41,4,0,145.0,218,1759.0,2626,4233,1784,1557,5,5,automatic,electric,FWD,247561.0,0.488,81.68,EURO 4,-1.0,1.86,17022,53.76
Kia,Rio,2013,sedan,2.93,6,1,256.0,440,1795.0,2740,4610,1883,1442,4,5,manual,petrol,FWD,289182.0,0.214,0.0,EURO 5,147.3,6.16,21997,16.24
Kia,Sportage,2022,sedan,,6,1,238.0,420,1917.0,2751,4632,1859,1454,4,5,manual,petrol,AWD,35446.0,0.503,0.0,EURO 6d,193.6,8.09,35372,12.36
Toyota,Camry,2014,coupe,2.87,6,0,211.0,389,1849.0,2751,4632,1860,1463,2,5,manual,petrol,FWD,169407.0,0.477,0.0,EURO 5,121.4,5.07,18267,19.71
Volkswagen,Passat,2010,wagon,2.04,4,0,162.0,278,1751.0,2624,4438,1801,1436,5,5,automatic,diesel,RWD,450000.0,0.714,0.0,EURO 5,141.8,5.37,11666,18.62
Hyundai,Elantra,2021,crossover,1.75,4,0,125.0,224,1918.0,2605,4345,1777,1532,5,5,cvt,petrol,AWD,109671.0,0.181,0.0,EURO 6d,145.5,6.08,24468,16.44
Nissan,Leaf,2021,sedan,1.8,4,1,215.0,336,1497.0,2650,4369,1758,1496,4,5,,petrol,RWD,54697.0,0.05,0.0,EURO 6d,133.3,5.57,27883,17.94
BMW,X3,2005,suv,2.76,6,1,340.0,514,2179.0,2745,4703,1881,1612,5,5,manual,electric,RWD,164191.0,0.485,103.28,EURO 4,3.0,2.13,25484,47.01
Nissan,Rogue,2011,suv,3.18,6,0,268.0,464,2339.0,2781,4870,1914,1643,5,7,automatic,hybrid,AWD,259136.0,0.226,1.32,EURO 5,118.2,5.91,21819,16.93
Honda,Civic,2014,crossover,1.8,4,1,176.0,282,2047.0,2625,4362,1768,1582,5,5,cvt,petrol,AWD,185033.0,0.377,0.0,EURO 5,158.8,6.64,18573,15.06
Nissan,Altima,2021,coupe,2.18,4,1,226.0,379,1839.0,2606,4529,1839,1458,2,5,automatic,hybrid,AWD,76038.0,0.237,2.29,EURO 6d,103.1,5.16,25286,19.39
Kia,Sportage,2021,suv,5.34,12,0,338.0,620,2797.0,3084,5437,2050,1641,5,5,manual,electric,FWD,48585.0,0.403,60.36,EURO 6d,0.6,1.92,38485,52.16
Toyota,Camry,2015,sedan,1.25,4,0,113.0,157,1497.0,2571,4270,1784,1485,4,5,dct,diesel,FWD,54707.0,0.283,0.0,EURO 6,109.1,4.13,21972,24.19
Volkswagen,Tiguan,2013,pickup,2.86,6,0,213.0,374,2312.0,3008,4957,1829,1460,4,5,automatic,petrol,FWD,158172.0,0.299,0.0,EURO 5,156.0,6.52,17643,15.33
Honda,Fit,2024,crossover,2.62,6,0,201.0,374,,2739,4543,1817,1554,5,5,automatic,hybrid,RWD,16097.0,0.136,1.21,EURO 6d,106.9,5.35,26477,18.71
Volkswagen,Polo,2020,suv,1.73,4,1,180.0,294,1822.0,2617,4611,1854,1635,5,7,automatic,petrol,FWD,17253.0,0.368,0.0,EURO 6,200.8,8.39,28425,11.91
Mercedes,E-Class,2006,hatchback,2.74,6,0,274.0,415,1586.0,2729,4630,1840,1458,5,5,manual,hybrid,FWD,450000.0,0.177,1.58,EURO 4,105.7,5.29,16445,18.91
Ford,Fusion,2014,hatchback,5.12,12,0,348.0,617,2252.0,3029,5205,1970,1443,5,5,automatic,petrol,FWD,267025.0,0.477,0.0,EURO 5,267.5,11.18,26114,8.94
Volkswagen,Golf,2018,crossover,3.29,8,0,269.0,482,2197.0,2824,4768,1891,1537,5,5,manual,hybrid,RWD,107659.0,0.151,2.31,EURO 6,96.1,4.81,28369,20.81
Kia,Niro,2009,pickup,2.98,6,0,194.0,348,2358.0,2940,5049,1871,1477,4,5,automatic,hybrid,FWD,318047.0,0.308,1.65,EURO 4,97.5,4.88,19874,20.51
BMW,X3,2010,hatchback,3.26,8,0,348.0,556,2023.0,2806,4751,1906,1443,5,5,cvt,petrol,FWD,339483.0,0.41,0.0,EURO 5,195.8,8.19,19928,12.21
Toyota,Camry,2018,suv,2.32,6,0,187.0,335,1975.0,2691,4677,1865,1636,5,5,automatic,diesel,FWD,182036.0,0.128,0.0,EURO 6,123.5,4.68,21095,21.38
Volkswagen,Tiguan,2014,suv,3.92,8,1,349.0,592,2363.0,2873,5134,1966,1642,5,5,automatic,diesel,FWD,169680.0,0.243,0.0,EURO 5,186.0,7.04,26579,14.2
BMW,3 Series,2018,hatchback,3.49,8,1,399.0,625,1798.0,2838,4722,1909,1426,5,5,dct,hybrid,FWD,184724.0,0.686,2.38,EURO 6,118.3,5.91,35055,16.91
Volkswagen,Polo,2014,crossover,1.37,4,0,130.0,246,1718.0,2469,4353,1747,1556,5,5,automatic,hybrid,FWD,196082.0,0.663,1.66,EURO 5,82.2,4.11,11592,24.33
Chevrolet,Equinox,2018,suv,4.53,8,0,303.0,537,2506.0,2959,5249,2020,1615,5,7,automatic,hybrid,FWD,9754.0,0.344,2.47,EURO 6,143.5,7.18,31693,13.94
Nissan,Leaf,2015,suv,1.8,4,0,121.0,225,1836.0,2652,4471,1836,1648,5,5,automatic,petrol,FWD,194266.0,0.566,0.0,EURO 6,132.4,5.53,18258,18.07
Ford,Fusion,2022,sedan,3.38,8,0,274.0,494,2193.0,2838,4737,1868,1442,4,5,manual,petrol,AWD,50287.0,0.513,0.0,EURO 6d,223.8,9.35,33931,10.69
Honda,Fit,2022,crossover,2.19,4,0,188.0,330,1825.0,2725,4430,1800,1573,5,5,automatic,,FWD,70971.0,0.51,0.0,EURO 6d,121.4,4.6,30420,21.74
Nissan,Altima,2022,sedan,1.56,4,0,159.0,274,1542.0,2576,4336,1768,1425,4,5,automatic,petrol,FWD,29878.0,0.43,0.0,EURO 6d,128.5,5.37,27894,18.62
Toyota,RAV4,2024,suv,2.73,6,0,185.0,301,2273.0,2745,4755,1891,1642,5,5,cvt,diesel,AWD,23178.0,0.252,0.0,EURO 6d,122.5,4.64,30095,21.55
Honda,Civic,2016,sedan,2.05,4,0,164.0,276,1561.0,2631,4397,1836,1441,4,5,cvt,electric,FWD,75574.0,0.642,107.71,EURO 6,0.3,1.95,25670,51.18
Volkswagen,Passat,2019,sedan,2.37,6,0,184.0,287,1705.0,2705,4446,1825,1444,4,5,cvt,diesel,FWD,147195.0,0.217,0.0,EURO 6,135.5,5.13,26083,19.49
Chevrolet,Cruze,2008,sedan,2.45,6,0,165.0,293,1775.0,2655,4509,1818,1480,4,5,manual,petrol,FWD,450000.0,0.377,0.0,EURO 4,157.4,6.58,11931,15.2
Kia,Sportage,2021,crossover,1.72,4,1,159.0,276,1986.0,2603,4355,1806,1579,5,5,manual,hybrid,FWD,105424.0,0.488,1.63,EURO 6d,106.9,5.34,22685,18.71
Honda,Fit,2013,hatchback,6.5,12,0,449.0,786,2565.0,3194,5452,2050,1428,5,5,automatic,petrol,FWD,110427.0,0.687,0.0,EURO 5,587.7,24.57,34371,4.07
Chevrolet,Silverado,2007,suv,2.02,4,0,200.0,307,1893.0,2652,4659,1867,1640,5,7,manual,diesel,FWD,450000.0,0.477,0.0,EURO 4,131.4,4.98,4997,20.09
Toyota,RAV4,2022,suv,3.02,6,0,229.0,380,2103.0,2744,4829,1906,1643,5,7,automatic,petrol,FWD,66449.0,0.197,0.0,EURO 6d,157.5,6.59,26428,15.19
Honda,Fit,2024,pickup,5.66,12,0,408.0,744,3149.0,3200,5600,2021,1470,4,5,automatic,petrol,FWD,14363.0,0.599,0.0,EURO 6d,299.6,12.52,43043,7.98
BMW,5 Series,2023,coupe,2.11,4,1,255.0,400,1632.0,2657,4474,1788,1440,2,5,automatic,diesel,FWD,31925.0,0.815,0.0,EURO 6d,131.7,4.99,35578,20.04
Toyota,RAV4,2021,sedan,1.76,4,1,159.0,245,1430.0,2599,4324,1774,1435,4,5,cvt,petrol,FWD,123473.0,0.145,0.0,EURO 6d,119.8,5.01,28497,19.97
Ford,Focus,2024,sedan,1.87,4,1,185.0,280,1675.0,2593,4334,1781,1462,4,5,manual,hybrid,FWD,12008.0,0.714,2.02,EURO 6d,88.2,4.41,26074,22.68
Toyota,Corolla,2006,hatchback,1.29,4,0,124.0,215,1304.0,2534,4231,1736,1474,5,5,manual,petrol,RWD,393523.0,0.271,0.0,EURO 4,124.1,5.19,8703,19.27
Toyota,RAV4,2012,crossover,2.92,6,0,214.0,373,2084.0,2721,4709,1873,1557,5,5,automatic,petrol,RWD,374139.0,0.591,0.0,EURO 5,219.4,9.17,15904,10.9
Audi,A3,2015,sedan,1.69,4,0,189.0,313,1632.0,2589,4387,1792,1446,4,5,automatic,hybrid,FWD,94554.0,0.636,1.79,EURO 6,91.3,4.57,26856,21.9
BMW,X5,2022,hatchback,2.8,6,1,348.0,555,1815.0,2681,4558,1835,1448,5,5,manual,petrol,FWD,70041.0,0.465,0.0,EURO 6d,182.2,7.62,34611,13.13
Toyota,Prius,2008,crossover,2.27,6,0,153.0,255,2064.0,2646,4456,1795,1568,5,5,cvt,diesel,FWD,183328.0,0.344,0.0,EURO 4,126.3,4.78,17257,20.91
Audi,A3,2012,hatchback,5.84,12,0,465.0,792,,3163,5425,2041,1447,5,5,automatic,petrol,AWD,204138.0,0.284,0.0,EURO 5,598.0,25.0,36386,4.0
Honda,Civic,2006,sedan,3.69,8,0,265.0,471,2036.0,2838,4786,1865,1430,4,5,automatic,diesel,FWD,201787.0,0.126,0.0,EURO 4,151.0,5.72,20044,17.48
Volkswagen,Polo,2015,sedan,2.8,6,0,205.0,361,1812.0,2735,4599,1828,1423,4,5,manual,petrol,FWD,322103.0,0.176,0.0,EURO 6,160.9,6.73,18528,14.87
Hyundai,Sonata,2019,hatchback,1.98,4,0,145.0,251,1487.0,2622,4401,1781,1445,5,5,automatic,diesel,FWD,69265.0,0.227,0.0,EURO 6,120.4,4.56,22235,21.93
Audi,A3,2017,coupe,,4,1,214.0,340,1603.0,2584,4222,1770,1433,2,5,automatic,petrol,FWD,144135.0,0.529,0.0,EURO 6,131.8,5.51,27137,18.16
Honda,Accord,2021,suv,2.09,4,0,182.0,308,2065.0,2636,4546,1838,1598,5,7,cvt,petrol,RWD,34676.0,0.407,0.0,EURO 6d,146.6,6.13,27623,16.32
Ford,Focus,2015,sedan,4.48,8,1,392.0,632,2138.0,2947,4973,1938,1432,4,5,dct,petrol,RWD,193658.0,0.737,0.0,EURO 6,,8.32,30801,12.01
Kia,Niro,2017,crossover,3.89,8,0,267.0,497,2346.0,2815,4884,1851,1557,5,5,manual,petrol,FWD,62083.0,0.618,0.0,EURO 6,212.4,8.88,27759,11.26
Honda,Accord,2013,crossover,0.8,3,0,74.0,139,1730.0,2490,4198,1731,1584,5,5,dct,electric,AWD,147086.0,0.345,53.16,EURO 5,-1.9,2.35,17950,42.63
Volkswagen,Polo,2024,crossover,1.79,4,0,185.0,306,1802.0,2606,4361,1810,1552,5,5,automatic,petrol,RWD,30040.0,0.117,0.0,EURO 6d,136.7,5.71,27951,17.5
Audi,A4,2011,crossover,1.23,4,1,192.0,282,1787.0,2571,4159,1765,1591,5,5,automatic,hybrid,FWD,271006.0,0.636,2.34,EURO 5,98.3,4.91,19954,20.35
Honda,Fit,2008,suv,2.23,6,0,156.0,234,1939.0,2681,4754,1868,1646,5,7,manual,diesel,RWD,364888.0,0.257,0.0,EURO 4,,5.44,7909,18.39
Nissan,Altima,2022,crossover,1.42,4,0,130.0,243,1703.0,2523,4279,1764,1560,5,5,automatic,hybrid,FWD,38726.0,0.287,1.3,EURO 6d,77.9,3.9,25959,25.66
Audi,Q5,2024,sedan,1.9,4,1,245.0,369,1554.0,2648,4401,1763,1487,4,5,manual,petrol,FWD,16007.0,0.24,0.0,EURO 6d,140.2,5.86,38689,17.06
Mercedes,C-Class,2010,sedan,3.79,8,1,431.0,645,1820.0,2838,4933,1876,1451,4,5,manual,petrol,FWD,288393.0,0.594,0.0,EURO 5,243.3,10.17,25251,9.83
Volkswagen,Passat,2009,suv,4.17,8,0,297.0,531,2460.0,2898,5201,2031,1641,5,5,manual,petrol,FWD,189540.0,0.329,0.0,EURO 4,246.8,10.32,18892,9.69
Volkswagen,Passat,2007,pickup,0.92,3,0,125.0,201,2104.0,2711,4609,1768,1479,4,5,automatic,diesel,RWD,208855.0,0.912,0.0,EURO 4,130.5,4.94,9884,20.24
Ford,Focus,2007,hatchback,2.16,4,1,220.0,361,1619.0,2679,4419,1802,1495,5,5,automatic,petrol,RWD,115648.0,0.343,0.0,EURO 4,171.8,7.18,16199,13.92
Chevrolet,Silverado,2022,sedan,1.19,3,0,167.0,219,1538.0,2540,4187,1777,1450,4,5,manual,diesel,AWD,28816.0,0.314,0.0,EURO 6d,141.5,5.36,26489,18.65
Mercedes,E-Class,2024,suv,1.2,4,0,161.0,271,1585.0,2512,4416,1810,1625,5,5,manual,petrol,FWD,12579.0,0.332,0.0,EURO 6d,124.4,5.2,31095,19.23
